Date,TweetCount
19/09/17,71751
20/09/17,59979
21/09/17,61443
22/09/17,63652
23/09/17,56876
24/09/17,55081
25/09/17,72699
26/09/17,61973
27/09/17,65959
28/09/17,70657
29/09/17,76874
30/09/17,56280
01/10/17,58917
02/10/17,66945
03/10/17,70772
04/10/17,76296
05/10/17,61290
06/10/17,68406
07/10/17,76111
08/10/17,63113
09/10/17,73002
10/10/17,79373
11/10/17,68320
12/10/17,106779
13/10/17,99372
14/10/17,83670
15/10/17,93320
16/10/17,77238
17/10/17,80151
18/10/17,71392
19/10/17,85571
20/10/17,94627
21/10/17,66998
22/10/17,74513
23/10/17,86442
24/10/17,74472
25/10/17,72426
26/10/17,67679
27/10/17,69197
28/10/17,59449
29/10/17,64396
30/10/17,73018
31/10/17,86043
01/11/17,89885
02/11/17,92923
03/11/17,77953
04/11/17,73373
05/11/17,67196
06/11/17,72577
07/11/17,64461
08/11/17,81551
09/11/17,81241
10/11/17,80481
11/11/17,68892
12/11/17,71176
13/11/17,73373
14/11/17,71630
15/11/17,79934
16/11/17,87538
17/11/17,83410
18/11/17,68192
19/11/17,72762
20/11/17,102144
21/11/17,87110
22/11/17,78405
23/11/17,75047
24/11/17,69886
25/11/17,71625
26/11/17,80943
27/11/17,98413
28/11/17,106360
29/11/17,128781
30/11/17,103190
01/12/17,105017
02/12/17,88292
03/12/17,83022
04/12/17,97945
05/12/17,103919
06/12/17,116856
07/12/17,155600
08/12/17,124260
09/12/17,114109
10/12/17,100455
11/12/17,128425
12/12/17,113215
13/12/17,98863
14/12/17,109628
15/12/17,105711
16/12/17,82782
17/12/17,84441
18/12/17,97245
19/12/17,83423
20/12/17,101169
21/12/17,105591
22/12/17,124670
23/12/17,100098
24/12/17,70864
25/12/17,64029
26/12/17,77648
27/12/17,78968
28/12/17,79968
29/12/17,77151
30/12/17,71377
31/12/17,64989
01/01/18,62044
02/01/18,77723
03/01/18,79086
04/01/18,74534
05/01/18,76404
06/01/18,62977
07/01/18,67259
08/01/18,30585
09/01/18,80932
10/01/18,82357
11/01/18,100333
12/01/18,80737
13/01/18,63396
14/01/18,65657
15/01/18,76852
16/01/18,102135
17/01/18,111394
18/01/18,100366
19/01/18,57244
20/01/18,75149
21/01/18,76295
22/01/18,93708
23/01/18,81995
24/01/18,78855
25/01/18,79509
26/01/18,73227
27/01/18,63956
28/01/18,66645
29/01/18,82322
30/01/18,84246
31/01/18,81651
01/02/18,93008
02/02/18,102640
03/02/18,76444
04/02/18,78202
05/02/18,99959
06/02/18,109734
07/02/18,95072
08/02/18,101569
09/02/18,89542
10/02/18,77570
11/02/18,75335
12/02/18,83783
13/02/18,73084
14/02/18,72888
15/02/18,74208
16/02/18,74964
17/02/18,69716
18/02/18,62968
19/02/18,69225
20/02/18,75215
21/02/18,69562
22/02/18,66124
23/02/18,62576
24/02/18,56616
25/02/18,63393
26/02/18,66533
27/02/18,64827
28/02/18,68823
01/03/18,61852
02/03/18,61317
03/03/18,null
04/03/18,null
05/03/18,null
06/03/18,null
07/03/18,null
08/03/18,null
09/03/18,null
10/03/18,null
11/03/18,null
12/03/18,null
13/03/18,null
14/03/18,null
15/03/18,null
16/03/18,null
17/03/18,null
18/03/18,null
19/03/18,null
20/03/18,null
21/03/18,null
22/03/18,null
23/03/18,null
24/03/18,null
25/03/18,null
26/03/18,null
27/03/18,null
28/03/18,null
29/03/18,null
30/03/18,null
31/03/18,null
01/04/18,null
02/04/18,null
03/04/18,null
04/04/18,null
05/04/18,null
06/04/18,null
07/04/18,52476
08/04/18,52796
09/04/18,59029
10/04/18,59044
11/04/18,61072
12/04/18,68886
13/04/18,64178
14/04/18,50026
15/04/18,52494
16/04/18,56538
17/04/18,56111
18/04/18,56720
19/04/18,57013
20/04/18,57190
21/04/18,56176
22/04/18,59404
23/04/18,59885
24/04/18,67323
25/04/18,65523
26/04/18,64330
27/04/18,55754
28/04/18,49473
29/04/18,46959
30/04/18,49151
01/05/18,49777
02/05/18,48137
03/05/18,50882
04/05/18,57751
05/05/18,50536
06/05/18,47589
07/05/18,53424
08/05/18,52302
09/05/18,54594
10/05/18,53621
11/05/18,55128
12/05/18,48718
13/05/18,46131
14/05/18,52460
15/05/18,50376
16/05/18,49167
17/05/18,47708
18/05/18,46685
19/05/18,40643
20/05/18,41628
21/05/18,44301
22/05/18,44097
23/05/18,49303
24/05/18,46043
25/05/18,42093
26/05/18,38020
27/05/18,43809
28/05/18,44801
29/05/18,46903
30/05/18,51863
31/05/18,47154
01/06/18,45316
02/06/18,41760
03/06/18,41999
04/06/18,46104
05/06/18,46860
06/06/18,45323
07/06/18,48259
08/06/18,46310
09/06/18,38889
10/06/18,40585
11/06/18,45487
12/06/18,46551
13/06/18,51652
14/06/18,47079
15/06/18,39786
16/06/18,36471
17/06/18,37164
18/06/18,46282
19/06/18,45018
20/06/18,41009
21/06/18,38835
22/06/18,41721
23/06/18,36776
24/06/18,36953
25/06/18,42286
26/06/18,43429
27/06/18,40206
28/06/18,41574
29/06/18,41392
30/06/18,35882
01/07/18,32183
02/07/18,40449
03/07/18,43042
04/07/18,40065
05/07/18,38128
06/07/18,38468
07/07/18,32273
08/07/18,31005
09/07/18,37804
10/07/18,39826
11/07/18,39901
12/07/18,39007
13/07/18,37794
14/07/18,30839
15/07/18,32485
16/07/18,41799
17/07/18,45432
18/07/18,42923
19/07/18,39629
20/07/18,38529
21/07/18,33267
22/07/18,32189
23/07/18,39877
24/07/18,48202
25/07/18,41673
26/07/18,39978
27/07/18,37373
28/07/18,31763
29/07/18,32179
30/07/18,37855
31/07/18,38962
01/08/18,39603
02/08/18,37572
03/08/18,39186
04/08/18,33342
05/08/18,30523
06/08/18,35064
07/08/18,34996
08/08/18,36169
09/08/18,34503
10/08/18,34108
11/08/18,29578
12/08/18,28188
13/08/18,31628
14/08/18,36996
15/08/18,35084
16/08/18,33037
17/08/18,32168
18/08/18,27953
19/08/18,26854
20/08/18,33467
21/08/18,33425
22/08/18,32026
23/08/18,33815
24/08/18,29804
25/08/18,26122
26/08/18,23840
27/08/18,28754
28/08/18,33359
29/08/18,31756
30/08/18,31447
31/08/18,32099
01/09/18,30166
02/09/18,29111
03/09/18,34835
04/09/18,35005
05/09/18,35456
06/09/18,37078
07/09/18,33033
08/09/18,28446
09/09/18,30519
10/09/18,33868
11/09/18,32809
12/09/18,29716
13/09/18,32269
14/09/18,31041
15/09/18,27319
16/09/18,26995
