Date,Price,Open,High,Low
2021-05-14,4075.38,3719.46,4171.76,3694.54
2021-05-13,3719.62,3807.50,4031.99,3539.96
2021-05-12,3811.77,4173.61,4366.10,3794.15
2021-05-11,4167.78,3948.66,4177.53,3781.86
2021-05-10,3947.90,3923.48,4203.98,3669.84
2021-05-09,3922.23,3905.69,3979.77,3734.44
2021-05-08,3905.55,3479.81,3952.88,3453.37
2021-05-07,3481.22,3490.83,3583.34,3363.56
2021-05-06,3489.52,3522.74,3601.59,3380.60
2021-05-05,3522.76,3284.31,3540.78,3228.86
2021-05-04,3286.71,3429.48,3516.34,3188.90
2021-05-03,3429.37,2950.07,3451.44,2950.07
2021-05-02,2950.33,2945.04,2984.52,2854.12
2021-05-01,2944.66,2772.27,2951.74,2753.60
2021-04-30,2772.78,2757.02,2797.61,2726.03
2021-04-29,2757.36,2746.51,2797.52,2670.35
2021-04-28,2746.54,2665.83,2759.03,2562.74
2021-04-27,2665.24,2531.07,2677.95,2484.44
2021-04-26,2533.12,2320.63,2539.80,2305.97
2021-04-25,2316.48,2217.23,2355.20,2169.91
2021-04-24,2215.93,2367.35,2367.46,2159.60
2021-04-23,2367.31,2398.95,2440.21,2119.26
2021-04-22,2401.10,2360.32,2642.99,2313.46
2021-04-21,2360.81,2331.84,2467.51,2238.15
2021-04-20,2332.14,2161.06,2345.18,2058.00
2021-04-19,2160.63,2236.10,2275.87,2081.30
2021-04-18,2237.17,2317.88,2338.53,1948.93
2021-04-17,2318.33,2424.12,2493.93,2314.12
2021-04-16,2423.18,2514.55,2544.54,2302.30
2021-04-15,2514.22,2432.90,2541.90,2402.75
2021-04-14,2431.56,2299.25,2445.40,2281.49
2021-04-13,2299.93,2137.55,2315.47,2136.49
2021-04-12,2137.81,2150.79,2199.52,2103.73
2021-04-11,2151.42,2133.89,2164.76,2114.55
2021-04-10,2133.79,2067.26,2197.73,2058.23
2021-04-09,2066.93,2080.20,2101.07,2050.39
2021-04-08,2079.92,1962.44,2084.08,1951.83
2021-04-07,1961.46,2112.41,2128.25,1939.64
2021-04-06,2111.53,2108.81,2150.78,2047.48
2021-04-05,2106.41,2076.14,2127.89,2004.05
2021-04-04,2075.94,2007.82,2091.31,1982.00
2021-04-03,2008.59,2134.66,2137.68,2004.40
2021-04-02,2134.55,1968.12,2144.11,1949.99
2021-04-01,1967.96,1918.82,1983.84,1897.38
2021-03-31,1917.99,1841.01,1945.40,1774.66
2021-03-30,1841.01,1816.92,1857.65,1788.60
2021-03-29,1816.69,1686.88,1839.41,1678.38
2021-03-28,1686.80,1712.89,1724.74,1661.92
2021-03-27,1713.01,1698.68,1731.73,1667.12
2021-03-26,1698.60,1586.36,1699.27,1586.28
2021-03-25,1586.54,1582.23,1621.32,1550.11
2021-03-24,1582.38,1668.42,1739.82,1546.48
2021-03-23,1667.90,1681.50,1720.01,1654.14
2021-03-22,1682.37,1783.58,1806.62,1659.28
2021-03-21,1783.72,1804.60,1815.85,1748.47
2021-03-20,1804.60,1809.09,1868.09,1801.60
2021-03-19,1809.64,1775.87,1848.88,1735.42
2021-03-18,1776.08,1823.72,1849.23,1760.83
2021-03-17,1823.35,1804.56,1837.88,1743.62
2021-03-16,1804.85,1792.08,1817.35,1715.97
2021-03-15,1792.38,1848.18,1890.59,1745.04
2021-03-14,1849.06,1921.29,1932.36,1836.78
2021-03-13,1921.13,1767.05,1943.36,1730.46
2021-03-12,1766.90,1827.44,1841.19,1723.18
2021-03-11,1825.79,1794.28,1845.32,1729.05
2021-03-10,1794.14,1869.32,1875.98,1759.50
2021-03-09,1869.10,1831.57,1869.10,1801.29
2021-03-08,1831.49,1727.17,1841.05,1665.54
2021-03-07,1728.10,1650.94,1732.84,1634.73
2021-03-06,1649.19,1530.24,1670.01,1514.62
2021-03-05,1530.29,1539.73,1548.71,1443.32
2021-03-04,1538.61,1567.84,1623.73,1506.86
2021-03-03,1571.05,1488.80,1653.04,1477.72
2021-03-02,1488.62,1570.00,1602.13,1457.22
2021-03-01,1570.03,1418.91,1571.15,1411.55
2021-02-28,1418.76,1458.84,1467.76,1294.79
2021-02-27,1458.93,1445.69,1527.69,1427.15
2021-02-26,1445.44,1476.77,1561.66,1403.30
2021-02-25,1476.15,1623.76,1669.24,1460.92
2021-02-24,1623.71,1578.27,1711.16,1505.79
2021-02-23,1578.11,1777.25,1781.44,1370.45
2021-02-22,1777.28,1933.52,1935.04,1561.68
2021-02-21,1933.45,1912.97,1974.99,1885.70
2021-02-20,1913.88,1955.54,2040.79,1800.00
2021-02-19,1955.59,1934.17,1968.93,1892.70
2021-02-18,1934.16,1849.95,1950.04,1849.05
2021-02-17,1847.95,1781.44,1854.03,1734.15
2021-02-16,1781.69,1778.63,1827.07,1726.78
2021-02-15,1778.82,1800.60,1835.51,1661.09
2021-02-14,1801.78,1815.44,1850.00,1787.11
2021-02-13,1815.49,1840.90,1871.36,1766.05
2021-02-12,1841.02,1786.74,1862.17,1741.04
2021-02-11,1786.35,1742.11,1817.68,1704.97
2021-02-10,1742.09,1770.81,1835.40,1683.52
2021-02-09,1770.63,1750.19,1818.94,1711.40
2021-02-08,1750.18,1612.98,1775.12,1566.43
2021-02-07,1612.99,1676.62,1692.29,1491.68
2021-02-06,1676.63,1719.11,1742.90,1648.03
2021-02-05,1719.20,1593.91,1760.09,1589.28
2021-02-04,1594.00,1664.19,1693.64,1570.45
2021-02-03,1664.34,1511.96,1667.93,1510.27
2021-02-02,1511.36,1373.31,1546.88,1361.63
2021-02-01,1373.40,1312.69,1376.44,1272.09
2021-01-31,1312.73,1377.05,1380.04,1282.41
2021-01-30,1376.96,1379.78,1405.78,1327.66
2021-01-29,1379.30,1329.16,1436.27,1288.26
2021-01-28,1328.47,1247.67,1359.51,1221.15
2021-01-27,1247.62,1366.14,1372.31,1210.40
2021-01-26,1366.27,1317.67,1377.94,1246.45
2021-01-25,1317.90,1390.69,1474.68,1298.13
2021-01-24,1390.28,1233.41,1398.00,1222.14
2021-01-23,1233.40,1234.34,1271.65,1196.94
2021-01-22,1234.58,1118.01,1272.85,1045.02
2021-01-21,1117.33,1377.63,1387.39,1095.26
2021-01-20,1377.53,1372.00,1406.56,1237.27
2021-01-19,1372.00,1258.10,1437.42,1252.36
2021-01-18,1258.06,1233.93,1260.30,1184.15
2021-01-17,1232.64,1228.33,1269.01,1168.39
2021-01-16,1228.27,1172.12,1290.92,1154.04
2021-01-15,1171.68,1233.34,1256.13,1079.19
2021-01-14,1226.17,1128.80,1246.52,1088.52
2021-01-13,1128.46,1050.20,1134.66,990.96
2021-01-12,1050.19,1086.96,1149.19,1008.28
2021-01-11,1091.47,1255.84,1257.30,917.96
2021-01-10,1256.04,1275.87,1347.98,1180.45
2021-01-09,1275.58,1215.92,1301.75,1172.39
2021-01-08,1215.73,1224.33,1271.08,1069.25
2021-01-07,1224.35,1208.71,1286.81,1153.09
2021-01-06,1207.77,1099.77,1210.78,1060.67
2021-01-05,1099.52,1042.48,1131.56,976.91
2021-01-04,1042.40,977.76,1158.27,894.24
2021-01-03,974.97,774.54,1008.49,769.57
2021-01-02,774.50,729.00,787.26,715.15
2021-01-01,729.12,735.87,748.96,715.74
2020-12-31,735.94,751.92,755.13,724.67
2020-12-30,751.80,732.04,757.11,720.21
2020-12-29,731.76,730.26,739.77,690.24
2020-12-28,730.05,683.76,747.86,682.47
2020-12-27,683.71,636.35,715.46,627.12
2020-12-26,636.58,626.99,652.36,616.04
2020-12-25,626.93,612.38,633.90,605.01
2020-12-24,612.34,585.47,614.92,566.15
2020-12-23,585.69,637.04,638.11,554.09
2020-12-22,637.47,607.86,637.47,588.24
2020-12-21,607.85,638.28,647.87,599.97
2020-12-20,638.26,657.79,661.04,622.39
2020-12-19,658.17,654.08,669.54,645.91
2020-12-18,653.85,643.28,664.26,630.44
2020-12-17,643.17,637.29,675.68,627.36
2020-12-16,637.38,588.81,638.18,580.90
2020-12-15,588.91,586.22,596.97,579.95
2020-12-14,586.19,590.66,591.41,576.01
2020-12-13,591.09,568.07,594.83,563.37
2020-12-12,567.78,544.16,573.59,543.90
2020-12-11,544.17,558.15,560.28,536.43
2020-12-10,558.13,573.28,575.56,548.99
2020-12-09,573.21,554.95,577.94,530.88
2020-12-08,555.05,591.03,594.78,551.08
2020-12-07,591.09,601.54,603.06,584.53
2020-12-06,601.68,596.61,606.90,583.67
2020-12-05,596.68,567.84,596.73,561.24
2020-12-04,567.91,616.33,619.61,566.34
2020-12-03,616.32,597.94,622.10,587.15
2020-12-02,598.05,585.69,604.34,575.24
2020-12-01,585.66,616.78,635.66,567.79
2020-11-30,615.92,575.35,615.97,571.04
2020-11-29,575.45,537.89,576.52,530.71
2020-11-28,537.74,518.70,547.94,506.97
2020-11-27,518.11,519.69,530.41,494.65
2020-11-26,519.32,569.69,577.08,484.03
2020-11-25,569.67,605.01,605.63,555.32
2020-11-24,605.03,609.20,621.70,589.56
2020-11-23,609.22,559.37,610.33,551.80
2020-11-22,559.40,551.90,580.00,514.44
2020-11-21,551.91,509.94,552.13,505.14
2020-11-20,509.98,471.27,513.06,471.06
2020-11-19,471.21,478.55,480.55,465.41
2020-11-18,478.52,482.05,495.04,459.92
2020-11-17,481.95,460.37,484.59,459.74
2020-11-16,460.43,448.18,465.97,445.82
2020-11-15,448.23,460.75,462.93,440.44
2020-11-14,460.70,476.38,477.34,452.60
2020-11-13,476.29,462.61,477.78,457.65
2020-11-12,462.56,463.33,469.57,452.44
2020-11-11,463.33,450.26,476.08,449.51
2020-11-10,450.22,444.38,454.43,439.50
2020-11-09,444.33,454.55,458.51,434.95
2020-11-08,454.68,435.39,460.09,432.44
2020-11-07,435.40,455.78,467.88,425.57
2020-11-06,455.72,416.59,457.79,415.08
2020-11-05,416.63,402.50,419.94,396.46
2020-11-04,402.19,388.23,407.90,377.22
2020-11-03,387.92,383.64,389.98,370.96
2020-11-02,383.53,396.45,404.04,379.13
2020-11-01,396.29,386.36,397.32,384.94
2020-10-31,386.42,382.81,394.01,380.53
2020-10-30,382.41,387.16,391.98,374.36
2020-10-29,386.76,388.25,393.33,381.53
2020-10-28,388.14,403.11,408.10,381.51
2020-10-27,403.15,393.93,409.85,390.92
2020-10-26,394.11,406.45,410.41,383.21
2020-10-25,406.09,412.44,417.07,403.95
2020-10-24,411.92,408.59,416.28,407.74
